binding_energy_eV,raw_intensity,background,component:imide_carbonyl_O,component:acid_carbonyl_O,component:methoxy_O,component:acid_hydroxyl_OH,total_fit,residual
525.0000537109374,22266.477176681034,22266.477176681034,181.27475690229875,78.95066068724275,106.41268245329552,33.408634392590386,22666.523911116463,-400.04673443542924
525.1000537109375,21786.36859106832,22299.149768626536,187.61550856140818,81.39035448440522,109.2949416726287,34.233038191894266,22711.68361153687,-925.3150204685517
525.2000537109375,21900.60518788843,22331.822360572034,194.29373366782423,83.94461011775311,112.29567541291806,35.08828757415107,22757.44466734468,-856.8394794562519
525.3000537109374,22276.87022189765,22364.4949525175,201.33372767911868,86.62069469150804,115.4214535544973,35.975938155711425,22803.846766598333,-526.976544700683
525.4000537109374,21958.26720984522,22397.167544463,208.76200426783268,89.42645917245375,118.67930680738766,36.89764469907309,22850.932959409747,-892.6657495645268
525.5000537109374,22152.877647520323,22429.8401364085,216.60754190895057,92.3703954317151,122.07676596502326,37.85516877975471,22898.750008493946,-745.8723609736226
525.6000537109375,22243.763455115295,22462.512728354,224.9020629166887,95.46169987530573,125.62190510601768,38.850387152585384,22947.348783404595,-703.5853282893004
525.7000537109375,21992.644688963257,22495.1853202995,233.68034988205912,98.71034454485869,129.32338920322763,39.8853008911312,22996.784704820777,-1004.1400158575198
525.8000537109374,22326.540352819935,22527.857912244963,242.98060532525324,102.12715670446448,133.19052666028654,40.96204538284472,23047.118246317812,-720.5778934978771
525.9000537109374,21297.727727178553,22560.530504190465,252.84486140865374,105.72390808709142,137.2333273657018,42.08290127256092,23098.41550232447,-1800.6877751459178
526.0000537109374,21442.136876754812,22593.203096135963,263.3194477942112,109.51341515904294,141.46256693500513,43.250306458346,23150.748832482568,-1708.6119557277561
526.1000537109375,22232.404586603163,22625.875688081465,274.4555272199092,113.50965197897466,145.88985790443272,44.46686925673492,23204.197594441517,-971.7930078383542
526.2000537109375,21983.59498480383,22658.548280026964,286.3097101702043,117.7278774851733,150.52772874675574,45.73538286915932,23258.84897929826,-1275.2539944944292
526.3000537109374,22111.927779825346,22691.22087197243,298.94476219789027,122.18477934951076,155.38971170423048,47.05884129830841,23314.79896652237,-1202.8711866970225
526.4000537109374,22198.17126018359,22723.893463917928,312.4304201093969,126.89863689815614,160.49044057787435,48.44045688252385,23372.15341838588,-1173.9821582022887
526.5000537109374,22007.490991770366,22756.56605586343,326.84433646597,131.8895060296181,165.8457597799138,49.8836796384893,23431.02933777742,-1423.5383460070552
526.6000537109375,22137.457070933735,22789.238647808932,342.2731758250623,137.17942957504783,171.47284615201588,51.39221862801223,23491.55631798907,-1354.0992470553356
526.7000537109375,22049.577673970623,22821.91123975443,358.813891031634,142.79267716142806,177.39034528023328,52.97006559396634,23553.878218821694,-1504.3005448510703
526.8000537109374,22314.769825620067,22854.583831699892,376.5752139046772,148.75601937837178,183.61852430535416,54.621521144299116,23618.155110432595,-1303.385284812528
526.9000537109374,22212.112799219165,22887.256423645395,395.67940215087026,155.09904194131315,190.17944354161554,56.351223802064276,23684.56553508126,-1472.4527358620944
527.0000537109374,22430.04115160184,22919.929015590897,416.26429366392523,161.85450662268386,197.09714958650525,58.16418228460736,23753.30914774862,-1323.2679961467802
527.1000537109375,22540.750933113675,22952.601607536395,438.48573104127803,169.05876703246167,204.39789304118284,60.06581142753754,23824.609810078855,-1283.8588769651797
527.2000537109375,21502.82449950626,22985.274199481897,462.5204338248582,176.75224892440917,212.11037447738846,62.06197223001591,23898.719228938568,-2395.894729432308
527.3000537109374,21519.884084965382,23017.94679142736,488.5694145157997,184.9800066547405,220.26602289983342,64.15901656895595,23975.921252066688,-2456.0371671013054
527.4000537109374,21838.072260988552,23050.61938337286,516.8620579666017,193.79236981362283,228.8993116825251,66.36383721268322,24056.536960048295,-2218.464699059743
