binding_energy_eV,raw_intensity,background,component:aromatic_C-C_C=C,component:C-N_C-Cl,component:imide_N-C=O,component:acid_O-C=O,total_fit,residual
275.00005371093744,9030.8472045595,9030.8472045595,259.40561470982425,66.04124306037546,28.805382269621067,14.639849196469926,9399.739293795792,-368.8920892362912
275.10005371093735,9049.897647871272,9085.736900806822,264.95963938503166,67.33759615937616,29.254676319098998,14.840142972215437,9462.128955642544,-412.23130777127153
275.2000537109375,8768.515892891743,9140.62659705427,270.693653769597,68.67244702827165,29.714554797653573,15.044568889613515,9524.751821539405,-756.2359286476621
275.3000537109374,9037.105831532803,9195.51629330159,276.6155060379903,70.04733319420517,30.185352475881277,15.25324121284621,9587.617726222514,-550.511894689711
275.4000537109375,9043.481118281057,9250.405989549037,282.7334760451884,71.46386960888148,30.667417452138913,15.46627817659243,9650.737030831839,-607.2559125507814
275.50005371093744,8744.803730840273,9305.29568579636,289.0563040819007,72.92375336804122,31.161111793719307,15.683802152460954,9714.120657192481,-969.3169263522086
275.60005371093735,9182.728296499288,9360.18538204368,295.5932218853694,74.42876876956181,31.666812214284622,15.905939823613146,9777.78012473651,-595.0518282372213
275.7000537109375,9049.964296184378,9415.075078291127,302.3539861094492,75.98079273811123,32.18491078988794,16.132822368025593,9841.727590296601,-791.7632941122229
275.8000537109374,8927.595259068772,9469.96477453845,309.3489144790932,77.58180064701838,32.71581571612484,16.364585650888923,9905.975891031576,-978.3806319628038
275.9000537109375,8988.590877823803,9524.854470785896,316.588924877789,79.23387257093768,33.259952109147044,16.601370426671565,9970.538590770442,-981.9477129466395
276.00005371093744,9172.278865811542,9579.744167033217,324.08557764202754,80.93920000597238,33.817762853431375,16.84332255139256,10035.430030086041,-863.151164274499
276.10005371093735,8769.936874601242,9634.63386328054,331.8511213669291,82.70009309768088,34.3897094994845,17.090593205712803,10100.665380450348,-1330.7285058491052
276.2000537109375,8488.151723141156,9689.523559527986,339.89854255892885,84.51898842113533,34.97627321483664,17.34333912946406,10166.26070285235,-1678.1089797111945
276.3000537109374,8980.545941042661,9744.413255775307,348.2416195085625,86.39845736170945,35.57795579197937,17.601722868295216,10232.233011305854,-1251.6870702631932
276.4000537109375,9131.983380867234,9799.302952022754,356.89498079750075,88.34121515014749,36.19528071718759,17.865913033161288,10298.60034172075,-1166.6169608535165
276.50005371093744,9255.565435210348,9854.192648270076,365.87416889944484,90.35013061072966,36.82879430442428,18.136084573408223,10365.381826658084,-1109.8163914477354
276.60005371093735,9381.353803699285,9909.082344517397,375.1957093874291,92.42823668760836,37.47906689893521,18.4124190642908,10432.59777655566,-1051.243972856375
276.7000537109375,8774.74881321695,9963.972040764844,384.8771863174974,94.5787418208718,38.146694155428584,18.69510500978434,10500.269768068425,-1725.5209548514758
276.8000537109374,9168.881682673125,10018.861737012166,394.9373244253336,96.80504225153675,38.83229839617697,18.98433816163145,10568.420740246846,-1399.5390575737201
276.9000537109375,8958.755493981904,10073.751433259613,405.39607884701155,99.1107353430612,39.536530054813305,19.280321855630902,10637.07509936013,-1678.3196053782267
277.00005371093744,8978.106551873077,10128.641129506934,416.27473315853445,101.49963401616205,40.260069212007345,19.583267366222387,10706.25883325986,-1728.1522813867832
277.10005371093735,9220.081895927851,10183.530825754257,427.5960066256258,103.97578240449629,41.003627229807535,19.893394280531982,10775.999636294719,-1555.9177403668673
277.2000537109375,8976.615566315753,10238.420522001703,439.3841716623899,106.54347285025833,41.76794849190718,20.210930893088108,10846.327045899347,-1869.7114795835932
277.3000537109374,9230.547304762977,10293.310218249026,451.66518262148423,109.2072643721429,42.55381225776017,20.536114622527826,10917.272592122941,-1686.7252873599646
277.4000537109375,9045.664461895034,10348.199914496472,464.4668171788357,111.97200275300595,43.36203463914515,20.869192451709363,10988.869961519169,-1943.205499624135
277.50005371093744,9456.842342045935,10403.089610743793,477.81883173493605,114.84284241108487,44.193470708447194,21.210421392722488,11061.155176990984,-1604.312834945049
277.60005371093735,9015.695222532797,10457.979306991114,491.75313243904185,117.8252702378489,45.049016748827796,21.56006897843928,11134.166795395271,-2118.471572862474
277.7000537109375,8936.216816212176,10512.869003238562,506.30396365017845,120.92513160653269,45.929612657236284,21.918413782326365,11207.946124934835,-2271.729308722659
277.8000537109374,8791.816445695653,10567.758699485883,521.5081158895238,124.14865877972282,46.83624451224485,22.28574596839426,11282.537464635769,-2490.7210189401158
