binding_energy_eV,raw_intensity,background,component:aromatic_C-C_C=C,component:C-N_C-Cl_methoxy_C,component:imide_N-C=O,component:acid_O-C=O,total_fit,residual
275.00005371093744,9158.291117739363,9158.291117739363,256.716386740995,86.97916786265864,30.181234560499814,13.60044494244803,9545.768351845965,-387.4772341066018
275.10005371093735,8790.359254760213,9211.149276367603,262.2259489114488,88.66194237239839,30.655170330127234,13.786518202683423,9606.478856184262,-816.1196014240486
275.2000537109375,9152.434096119194,9264.007434995963,267.9144783678272,90.39395326183016,31.140346192283413,13.976430229581362,9667.432643047485,-514.998546928291
275.3000537109374,8537.507727463659,9316.865593624203,273.78979664248453,92.17713722966319,31.637120037992197,14.170287174762402,9728.639934709105,-1191.132207245446
275.4000537109375,9022.139127875467,9369.723752252565,279.8601564512284,94.01352699037294,32.1458641015511,14.368198878445469,9790.111498674163,-767.9723707986959
275.50005371093744,8306.349184072182,9422.581910880805,286.1342704786095,95.90525703406237,32.6669656551421,14.570279024064412,9851.858683072684,-1545.5094990005018
275.60005371093735,9007.180432015411,9475.440069509044,292.6213424259835,97.85456979288195,33.200827742980366,14.776645300492808,9913.893454771383,-906.7130227559719
275.7000537109375,8724.658245855546,9528.298228137404,299.3311005271285,99.86382224696787,33.747869957560475,14.987419572295266,9976.228440441357,-1251.570194585811
275.8000537109374,9092.70285065784,9581.156386765644,306.2738337577767,101.93549300605032,34.30852926079072,15.202728058466253,10038.876970848729,-946.1741201908881
275.9000537109375,9410.106928590636,9634.014545394004,313.460430989009,104.07218990625887,34.88326085301649,15.42270152014767,10101.853128662437,-691.7462000718006
276.00005371093744,8557.835991895907,9686.872704022244,320.902423360205,106.27665816520562,35.47253909311433,15.647475457830677,10165.1718000986,-1607.3358082026934
276.10005371093735,8799.500208035046,9739.730862650484,328.61203017751035,108.55178914279347,36.07685847315222,15.877190318607802,10228.848730762547,-1429.3485227275014
276.2000537109375,8579.377148645355,9792.589021278844,336.60220867583035,110.90062975948588,36.69673465130683,16.11199171405084,10292.900586079517,-1713.5234374341617
