binding_energy_eV,raw_intensity,background,component:imide_carbonyl_O,component:acid_carbonyl_O,component:acid_hydroxyl_OH,total_fit,residual
525.0000537109374,22840.89303200437,22426.39903474025,336.86274363223976,86.81899750866323,51.40490961384533,22901.485685494998,-60.592653490628436
525.1000537109375,22077.163365397257,22426.39903474025,348.1468785329068,89.2058144222427,52.67203045801173,22916.42375815341,-839.260392756154
525.2000537109375,21981.05991623386,22426.39903474025,360.00489526367335,91.6921125697702,53.986466730599616,22932.082509304295,-951.0225930704364
525.3000537109374,22063.549746939254,22426.39903474025,372.4761806026334,94.28347975110344,55.350597591233594,22948.50929268522,-884.9595457459654
525.4000537109374,22102.25440001302,22426.39903474025,385.60354105310404,96.98590031266089,56.766953229968394,22965.755429335983,-863.5010293229643
525.5000537109374,22864.273367755344,22426.39903474025,399.43356338848963,99.80578927990054,58.23822648722254,22983.876613895864,-119.60324614051933
525.6000537109375,22041.826789431623,22426.39903474025,414.0170200649811,102.75002995410546,59.767285527165235,23002.9333702865,-961.1065808548774
525.7000537109375,22034.38739755214,22426.39903474025,429.4093259559552,105.82601537954457,61.35718767476808,23022.99156375052,-988.60416619838
525.8000537109374,22096.85912158174,22426.39903474025,445.6710539181684,109.04169414125506,63.01119453986957,23044.122977339543,-947.263855757803
525.9000537109374,22069.96105801848,22426.39903474025,462.8685179498034,112.40562101592131,64.73278856645788,23066.405962272434,-996.4449042539527
526.0000537109374,21802.715234663727,22426.39903474025,481.0744341835118,115.92701306991367,66.52569116220135,23089.926173155876,-1287.2109384921496
526.1000537109375,22315.056672244307,22426.39903474025,500.36867172372456,119.61581188138017,68.39388258249336,23114.777400927847,-799.7207286835401
526.2000537109375,22876.32815555121,22426.39903474025,520.8391074438521,123.48275265878421,70.34162376504406,23141.06251860793,-264.7343630567193
526.3000537109374,22665.421790415632,22426.39903474025,542.5826013812232,127.53944113914903,72.37348033599054,23168.894557596614,-503.47276718098146
