binding_energy_eV,raw_intensity,background,component:carbonyl_O,component:acid_hydroxyl_methoxy_O,total_fit,residual
525.0000537109374,22266.477176681034,21718.472726133856,326.16158959530463,200.41430071217792,22245.048616441338,21.4285602396958
525.1000537109375,21786.36859106832,21718.472726133856,337.2160186218627,205.7626525020841,22261.451397257802,-475.08280618948265
525.2000537109375,21900.60518788843,21718.472726133856,348.8390297237742,211.32727680871497,22278.639032666346,-378.0338447779177
525.3000537109374,22276.87022189765,21718.472726133856,361.0700701903842,217.11995312229362,22296.662749446532,-19.79252754888148
525.4000537109374,21958.26720984522,21718.472726133856,373.9520476628274,223.15327108157774,22315.57804487826,-357.31083503304035
525.5000537109374,22152.877647520323,21718.472726133856,387.5316985023605,229.44069801600304,22335.445122652218,-182.56747513189475
525.6000537109375,22243.763455115295,21718.472726133856,401.86000241158365,235.9966531237912,22356.32938166923,-112.56592655393615
525.7000537109375,21992.644688963257,21718.472726133856,416.9926500156451,242.83658903849263,22378.301965187995,-385.65727622473787
525.8000537109374,22326.540352819935,21718.472726133856,432.99057121594245,249.9770816335291,22401.440378983327,-74.90002616339189
525.9000537109374,21297.727727178553,21718.472726133856,449.92053343821675,257.4359290252964,22425.82918859737,-1128.101461418817
526.0000537109374,21442.136876754812,21718.472726133856,467.8558204519397,265.23226086247115,22451.560807448266,-1009.4239306934542
526.1000537109375,22232.404586603163,21718.472726133856,486.87700429122935,273.38665913561374,22478.736389560698,-246.33180295753482
526.2000537109375,21983.59498480383,21718.472726133856,507.072825019995,281.9212919090771,22507.466843062928,-523.8718582590991
526.3000537109374,22111.927779825346,21718.472726133856,528.5411957358082,290.8600615713138,22537.87398344098,-425.94620361563284
526.4000537109374,22198.17126018359,21718.472726133856,551.3903533938262,300.2287694237081,22570.09184895139,-371.9205887677999
526.5000537109374,22007.490991770366,21718.472726133856,575.7401798756736,310.0552986871537,22604.268204696684,-596.7772129263176
526.6000537109375,22137.457070933735,21718.472726133856,601.7237223867362,320.369818306699,22640.566266827293,-503.1091958935576
526.7000537109375,22049.577673970623,21718.472726133856,629.4889479427839,331.2050102837838,22679.166684360425,-629.5890103898018
526.8000537109374,22314.769825620067,21718.472726133856,659.2007736949535,342.5963236729402,22720.26982350175,-405.49999788168134
526.9000537109374,22212.112799219165,21718.472726133856,691.0434235730906,354.5822588551423,22764.098408562088,-551.9856093429225
527.0000537109374,22430.04115160184,21718.472726133856,725.2231729116298,367.20468625580594,22810.900585301293,-380.8594336994538
527.1000537109375,22540.750933113675,21718.472726133856,761.97155762401,380.50920432801354,22860.953488085877,-320.20255497220205
527.2000537109375,21502.82449950626,21718.472726133856,801.5491454764108,394.5455423876545,22914.56741399792,-1411.7429144916605
527.3000537109374,21519.884084965382,21718.472726133856,844.2499986543963,409.36801479072017,22972.090739578973,-1452.2066546135902
527.4000537109374,21838.072260988552,21718.472726133856,890.4070079410077,425.036034010112,23033.915768084975,-1195.8435070964224
527.5000537109374,22216.23476585835,21718.472726133856,940.3983661757279,441.6146914328092,23100.48578374239,-884.2510178840421
527.6000537109375,22638.331799955693,21718.472726133856,994.6556030421691,459.17541619962924,23172.303745375655,-533.9719454199621
527.7000537109375,22336.845288275614,21718.472726133856,1053.6738790122483,477.79672419628935,23249.943329342394,-913.0980410667798
527.8000537109374,22643.04130769316,21718.472726133856,1118.0257248341413,497.5650714387107,23334.06352240671,-691.0222147135464
527.9000537109374,22509.519297626728,21718.472726133856,1188.3802589737636,518.5758286511397,23425.428813758757,-915.9095161320292
528.0000537109374,22306.104916777498,21718.472726133856,1265.5313319885202,540.9343969054703,23524.938455027845,-1218.8335382503465
528.1000537109375,22594.474854706157,21718.472726133856,1350.4403195693947,564.7574878926442,23633.670533595894,-1039.1956788897369
528.2000537109375,22490.48404668063,21718.472726133856,1444.3027487698748,590.1745968785648,23752.950071782296,-1262.4660251016649
528.3000537109374,22823.933802423417,21718.472726133856,1548.6528978161637,617.3297018569033,23884.45532580692,-1060.5215233835042
528.4000537109374,23527.296701000065,21718.472726133856,1665.5270663516244,646.3832291199603,24030.38302160544,-503.0863206053764
528.5000537109374,23664.949371874092,21718.472726133856,1797.714006700634,677.5143338305348,24193.701066665024,-528.7516947909317
528.6000537109375,22709.34907152419,21718.472726133856,1949.1288215661186,710.9235548503689,24378.525102550342,-1669.1760310261525
528.7000537109375,22979.38241401422,21718.472726133856,2125.3519745261865,746.8359172131485,24590.66061787319,-1611.2782038589685
528.8000537109374,23421.538640447332,21718.472726133856,2334.3738375406924,785.5045753792598,24838.351139053808,-1416.8124986064759
528.9000537109374,24105.623722519114,21718.472726133856,2587.5717845938925,827.2151199192377,25133.259630646986,-1027.6359081278715
529.0000537109374,24553.680887567058,21718.472726133856,2900.9148159175465,872.2907175566692,25491.67825960807,-937.9973720410126
529.1000537109375,24552.54690001604,21718.472726133856,3296.3346098793622,921.0983348128448,25935.90567082606,-1383.3587708100204
529.2000537109375,25238.810492135788,21718.472726133856,3803.120081449455,974.0564370055721,26495.649244588883,-1256.8387524530954
529.3000537109374,25585.38447455876,21718.472726133856,4459.090601921543,1031.6448071030472,27209.208135158446,-1623.8236605996863
529.4000537109374,26592.150218161274,21718.472726133856,5311.197078997822,1094.4175775605713,28124.087382692247,-1531.937164530973
529.5000537109374,27545.58353802223,21718.472726133856,6415.1177424258685,1163.0213479004676,29296.611816460194,-1751.0282784379633
529.6000537109375,28310.380619733554,21718.472726133856,7833.392937935952,1238.2215724759935,30790.0872365458,-2479.7066168122474
529.7000537109375,30837.584522136094,21718.472726133856,9631.716542594322,1320.9425197705705,32671.131788498747,-1833.5472663626533
529.8000537109374,33472.78471961298,21718.472726133856,11873.191838007762,1412.3293528954152,35003.993917037034,-1531.2091974240539
529.9000537109374,35233.33906752926,21718.472726133856,14610.65412317282,1513.8455703816921,37842.97241968837,-2609.6333521591077
530.0000537109374,39188.45810433735,21718.472726133856,17877.497264505804,1627.4253200484225,41223.39531068808,-2034.9372063507326
530.1000537109375,44019.66918893021,21718.472726133856,21677.695914401378,1755.7076762037648,45151.876316739,-1132.2071278087897
530.2000537109375,49234.84922181662,21718.472726133856,25975.733632841613,1902.387782227658,49596.594141203124,-361.74491938650317
530.3000537109374,56230.08865904154,21718.472726133856,30686.821187718608,2072.725527336173,54478.01944118863,1752.0692178529061
530.4000537109374,62160.97562103176,22361.786651556195,35667.25209551862,2274.2523216935692,60303.291068768376,1857.6845522633812
530.5000537109374,68015.84775700798,23162.71661729511,40704.7165421295,2517.705174199803,66385.1383336244,1630.7094233835815
530.6000537109375,75416.99115940952,23964.364717333407,45510.510775268616,2818.1883584333364,72293.06385103536,3123.9273083741573
530.7000537109375,80051.98010616549,25485.53641933545,49721.696298570285,3196.510841524797,78403.74355943053,1648.2365467349591
530.8000537109374,83293.38899451292,26466.16669521754,52929.810353617766,3680.570044640795,83076.5470934761,216.8419010368234
530.9000537109374,85303.7971725703,26715.05917506128,54752.69124818737,4306.553844197041,85774.3042674457,-470.50709487540007
531.0000537109374,85048.46449142863,26715.05917506128,54940.8791658685,5119.627436041403,86775.56577697118,-1727.1012855425506
531.1000537109375,84902.10909114046,26715.05917506128,53467.15965484679,6173.685640281928,86355.90447019,-1453.7953790495376
531.2000537109375,83897.93958178302,26715.05917506128,50537.269785732715,7529.719413819683,84782.04837461367,-884.1087928306515
531.3000537109374,82014.02882032625,26715.05917506128,46513.52107144975,9252.404025351683,82480.98427186272,-466.95545153647254
531.4000537109374,79483.27906933642,26715.05917506128,41806.37918755515,11404.689162209645,79926.12752482606,-442.8484554896422
531.5000537109374,77961.6869186072,26715.05917506128,36792.7370451399,14040.450933946915,77548.24715414809,413.4397644591081
531.6000537109375,76303.78994598472,26715.05917506128,31778.63477708896,17195.59650722979,75689.29045938003,614.4994866046909
531.7000537109375,74927.72322697742,26715.05917506128,26992.880439771347,20878.28147703207,74586.22109186469,341.50213511273614
531.8000537109374,75296.1939547249,26715.05917506128,22593.62404585738,25058.956039648994,74367.63926056765,928.5546941572538
531.9000537109374,75323.9434091364,26715.05917506128,18677.93346728264,29660.678016793387,75053.67065913731,270.27274999908695
532.0000537109374,77827.42907923934,26715.05917506128,15291.458929077955,34549.60401087458,76556.12211501382,1271.3069642255286
532.1000537109375,80017.0152898106,26715.05917506128,12438.153786243753,39525.41079172726,78678.6237530323,1338.3915367783047
532.2000537109375,81594.71520393922,26715.05917506128,10090.296916526346,44313.10249734702,81118.45858893465,476.256615004575
532.3000537109374,82831.09561206396,26715.05917506128,8198.5470683587,48563.14989975041,83476.75614317038,-645.6605311064195
532.4000537109374,85280.81070836323,26715.05917506128,6701.360680349835,51875.39800580854,85291.81786121966,-11.007152856429457
532.5000537109374,85452.88915686558,26715.05917506128,5533.0514368262775,53864.176548655814,86112.28716054338,-659.3980036777939
532.6000537109375,84261.91102127459,26715.05917506128,4629.985480154168,54260.90115891519,85605.94581413064,-1344.0347928560514
532.7000537109375,83331.25586331468,26715.05917506128,3934.7355412571164,53008.316362829006,83658.1110791474,-326.855215832722
532.8000537109374,79051.57881668904,26715.05917506128,3398.3282682108816,50282.946087293065,80396.33353056523,-1344.7547138761875
532.9000537109374,75368.11901521242,26715.05917506128,2980.935125385896,46428.52363330934,76124.51793375652,-756.3989185441023
533.0000537109374,71326.32373051925,26715.05917506128,2651.455634818253,41849.263452560175,71215.77826243971,110.54546807953739
533.1000537109375,66024.62388288065,26715.05917506128,2386.4376671293157,36924.00825953674,66025.50510172734,-0.8812188466836233
533.2000537109375,62381.592425672316,26715.05917506128,2168.7071424525843,31964.278439413323,60848.044756927186,1533.54766874513
533.3000537109374,56734.449168853556,26715.05917506128,1985.9760242544091,27205.199879168962,55906.23507848465,828.2140903689069
